date;retweets;text
2019-07-04;1;"【NYダウ】 26,966.00 △0.67% +179.32 [07/03] https:// nikkei225jp.com/nasdaq/ #dow #ダウ 日経平均、同程度にはあげるのかしら。ま、休憩。 pic.twitter.com/S3HdiCeKyA"
2019-07-04;0;"2018 was a record-setting year for #stocks , but not the kind investors like to see. It was the worst year in over a decade, with the #Dow falling 5.6% and the #S &P dropping by 6.2%. The #BB1 token offers a welcome antidote to the ailing financial markets. https:// buff.ly/32c6iBR pic.twitter.com/a4eBE63h0w"
2019-07-04;10;"$ SPY $ NDX #DIA $ DIA $ YM #RUT #SPX #NQ $ Dax $ Dow #Dow #FTSE $ SPX $ NQ #Dax $ QQQ #Nasdaq *2 ascending wedges=bearish *Approaching apex *Upper trend line has just been broken but expect backtest followed by drop imminently? *Chart 2 = closeup #Techs #US100 PLS R/T pic.twitter.com/WKKfq3qTkX"
2019-07-04;0;"Das Aktienportfolio auf dem iPhone verwalten. Gewinn & Verlust jederzeit im Blick. #nasdaq #DOW #DAX #iPhone #trade @NightRTs https:// itunes.apple.com/de/app/portfol io-aktien-anlagen-im-ueberblick/id1137454363?mt=8&at=11l5GX&ct=twitter …"
2019-07-04;1;"Doesn't this look neat? #DoW pic.twitter.com/tO3GCiQYxn"
2019-07-04;0;"Das Aktienportfolio auf dem #iPhone jederzeit im Überblick. #aktien #DAX #DOW #SMI #ios @AlienRTs https:// itunes.apple.com/de/app/portfol io-aktien-anlagen-im-ueberblick/id1137454363?mt=8&at=11l5GX&ct=twitter …"
2019-07-04;2;"#BuenosAires Trabajadores ante la explosión de Dow en Bahía Blanca: "vivimos en riesgo permanente" https://www. anred.org/?comunicado=tr abajadores-ante-la-explosion-de-dow-en-bahia-blanca-vivimos-en-riesgo-permanente … #BahíaBlanca #Explosión #Dow #ExplosiónenDow pic.twitter.com/tpxnCWGdkz"
2019-07-04;49;"Here is the #Dow right now. A handful of points below 27k. How is this not front page news in every outlet? pic.twitter.com/UEeqeF7Gdz"
2019-07-04;0;"#Nightly #Business #Report – July 3, 2019 #FED #Interest #Rate #WTI #TAX #OPIC #Stocks #emerging #Markets #DOW #Nasdaq #S &P #FANG #index #Trading #Economy #Tariffs #China #trade #volatility #Investing #tech #global #Technology #en … https:// lnkd.in/gQHEReP https:// lnkd.in/gu8pfk2"
2019-07-04;0;"Me imagino lo preocupados que están en #Dow después de las declaraciones de @hector_gay y la citación de los concejales, algún día los políticos pensarán en nosotros, veremos"
2019-07-04;0;"#DAX und #DOW #Scalping mit @WHSelfInvest_DE und @NinjaTrader heute kostenfrei ab 16 Uhr: https://www. godmode-trader.de/webinare-und-s eminare/detail/dax-und-dow-scalping-mit-heiko-behrendt,32714 …"
2019-07-04;11;"#VolatilityIndex $ VIX #VXX $ VXX *Seems incredible but cld see lower blue range being hit before #VIX reverses *Who says #MarketManipulation doesnt work *Gap dating back to Jan 2018 nds to be filled $ SPY $ NDX #DIA $ DIA $ YM #RUT #SPX #NQ $ Dax $ Dow #Dow #FTSE $ SPX $ NQ PLS R/T pic.twitter.com/LctCltf1se"
2019-07-04;8;"$ SPY $ NDX #DIA $ DIA $ YM #RUT #SPX #NQ $ Dow #Dow #FTSE $ SPX In spite of US rally, #Dax held in yellow zone (posted yday) IF CZ holds,green zone completes harmonic IF $ Dax incurs p/b,wld expect US indices to also C has a range so worst case scenario,Dax rises to 12995 PLS R/T pic.twitter.com/SNW0j7nzKA"
2019-07-04;0;"Aktienmärkte: Startet TINA jetzt so richtig durch? #Dax #Dow #Aktien https:// finanzmarktwelt.de/aktienmaerkte- startet-tina-jetzt-so-richtig-durch-131941/ …"
2019-07-04;1;"#DOW #Trading - Ein Bulle vs. zwei Bären #wirtschaft $ DJIA http:// gmtr.ly/E1rqDKIeP"
2019-07-04;1;"Die Bullen regieren an den Aktienmärkten: Zuerst der #S &P500, jetzt auch der #DOW mit neuem Allzeithoch. Der #DAX zeigt sich heute früh fest und notiert bei 12.628 Punkten. 12.750/12.760 ist die nächste Zielzone! 12.590/12.600 erster Support heute. pic.twitter.com/GganIfRWwB"
2019-07-04;0;"Angriff der Defensive! Videoausblick #Dax #Dow #Euro #Dollar #EURUSD #Forex #gold #Öl https:// finanzmarktwelt.de/angriff-der-de fensive-videoausblick-131926/ …"
2019-07-04;14;"Record-breaking day at the US #Stockmarket . New record closing highs for the #Dow , S&P 500, and the Nasdaq. Full Story Here: https:// news.ntd.com/major-indices- for-us-stock-market-close-at-record-highs_351935.html … pic.twitter.com/6K8HY3wRDu"
2019-07-04;0;"$ YM_F Latest 1 Hour chart from New York update @http://www. elliottwave-forecast.com #Elliottwave #Dow #Trading pic.twitter.com/ecm4H9pXDP"
2019-07-04;0;"#DOW espera #NFP en máximos históricos http:// j.mp/2XqsswP #dowjones #index #trading #FelizJueves pic.twitter.com/qxXP1amt42"
2019-07-04;0;"I’m coming up this hour on @AmericaNewsroom discussing positive and negative signs for the economy, will the #Dow 's record high streak continue & more. Tune in now so you don't miss it. @FoxNews #ThursdayMorning #FourthOfJuly pic.twitter.com/ocFEK1Zr4n"
2019-07-04;0;"Good catch - just testing ;) US futures prices: #DOW 26987 0.00% #SPX 2998 +0.01% #NASDAQ 7870 +0.12% #RUSSELL 1576 +0.08%"
