date;retweets;text
2020-05-17;3;"#Dow #futures jump 200 points, rebounding from last week's losses @CNBC https://www. cnbc.com/2020/05/17/sto ck-futures-up-after-powell-says-economy-could-recover-some-this-year.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter …"
2020-05-17;1;"#DOW F - as promised - $23800 soon #ASX Green! pic.twitter.com/kII1PkRN3k"
2020-05-17;1;"#dax30 #ger30 #SPX500 #dow #dji 10750 altında kaldıkca hedeflere doğru gidecegini düsünüyorum ,yukarıda 10750-11000 önemli seviyeler, aşağıda ise önemli seviyeler arasında 10200-9900-9200-8300 var.ytd. #forex #fx pic.twitter.com/y4Hg1tmlWh"
2020-05-17;3;"#dowjones #dow #DAX #sp500 #dxy #fx #forex en kötü senaryom bu yöndedir 2/1 ölçeğinin altında seyir halindeyiz hedefi 3/1 ölçeğidir tüm bileşenler varsayımsal olarak 22410 u hedeflemekte gerekli açıklamalar grafik üzerine yazılmıştır EĞİTİM ÇALIŞMASIDIR #RT İHMAL ETMEYİNİ #fAV pic.twitter.com/7uANFFvG2X"
2020-05-17;1;"#nas100 #us100 #nasdaq #forex #fx #dow #dax30 #spx500 #sp500 Beklentilerim arasında kırmızı bölge ve turuncu destek cizgisinin hacimli asagı yönlü kırılması bulunuyor takip edecegim. Turuncu direnc tekrar test edilirse yine kademeli satıs arayacagım. ytd. pic.twitter.com/rikT18NntP"
2020-05-17;2;"REALITY CHECK: #STOCKS v $ GOLD The bear mkt in #stonks began long b4 #COVID19 . Sept 2018 marked the top, when measured in $ GOLD The #DOW / #Gold ratio reached ~1:1 in 1980 & 1933, marking the top. I plan to begin slowly scaling out when the ratio reaches ~3:1 $ silver pic.twitter.com/Pm0qJKycvq"
2020-05-17;7;"#XAUUSD #ons #gold #dxy #fx #forex #borsa #dow #dax #sp500 #eurusd #GBPUSD gerekli açıklamalar grafik üzerine yazılmıştır EĞİTİM ÇALIŞMASIDIR #RT İHMAL ETMEYİNİZ #fAV pic.twitter.com/xCWUVkaaRU"
2020-05-17;8;"Weekend indices update: #DAX 10483 -0.26% #DOW 23559 -0.40% #FTSE 5808 -0.42% #HANGSENG 23494 -0.43% #IGWeekendMarkets"
2020-05-17;2;"Stock markets are falling!! Do you see THE HALF "W" at the end of the chart? #SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500 pic.twitter.com/tlJPx0Ec8l"
2020-05-17;2;"1/2 Sorry Sir bt prediction itself worst n trend less. Gold not go below 10% in coming global crises as per trend n it secure investment while #bitcoin not show ny sign of decoupling yet instead it drop 60% compare to #dow decline 38%. $ btc can dump near $4000 with global market."
2020-05-17;0;"If Stan Druckenmiller and David Tepper says so, that means #SP500 and #dow will get upper.. @amlivemon https:// twitter.com/business/statu s/1262076939373871104 …"
2020-05-17;0;"SPX made a high on Monday just to fool bulls and take out their stops below previous week’s low. Yellow level which provides intraday... Read More ---->>> https:// mailchi.mp/51796a32d82c/n ewsletter-2744440 … #SPX #DAX #EURUSD #GBPUSD #USDJPY #FTSE #DOW #NASDAQ #USOIL #GOLD #trading pic.twitter.com/PVw7TJVCqM"
2020-05-17;0;"No realices tus trades u operaciones como los demás traders. Pattern N*25 te ayuda a entender y ver las estructuras de los gráficos de diferente manera. Mira y piensa diferente. #dax #dow #spx https:// youtu.be/aJy1Wzxs-8Q"
2020-05-17;1;"The #Dow Jones, Nasdaq and #DAX 30 weathered an uptick in risk aversion last week as the indices pulled back from resistance and fell to support. Here are the levels to watch in the week ahead. Get your #equities technical analysis from @PeterHanksFX here: https:// bit.ly/2zGD5VY pic.twitter.com/MhMeulFgBd"
2020-05-17;18;"#DOW JONES 30 VADELİ 60 DK. -16 MAYIS Asya piyasaları ile birlikte yarınki BIST açılışına yön verme ihtimali olan DOWJONES 30 VADELİ ENDEKS yukarı açılış yapacak gibi.. Detay grafikteki formasyon analizde. https:// pirikaptan.com/2020/03/24/dow -jones-30-vadeli-16-mayis/ …"
2020-05-17;1;"'Quality at any price' investors looking at Bajaj Finance. #stocks #trader #investor #bse #nse #mcx #nifty #sensex #banknifty #stockmarkets #investing #finance #markets #trading #crude #brent #oil #WTI #portfolio #mutualfunds #dow #nasdaq #Reliance pic.twitter.com/I9iNlYYuv4"
2020-05-17;0;"JFD #Trading Wochenanalyse KW21/2020 - #DAX - #EUR / #USD - #DOW - GOLD $ Gold http:// gmtr.ly/fRArYr4sx"
2020-05-17;5;"#Dow Jones for the Week #dj #us30 #trading @adssgroup @adsslondon pic.twitter.com/tzw9yVFo7W"
2020-05-17;0;"Haziran Ortası Veya sonuna Dogru #SP500 #dow #nasdaq #dxy Çöküşlerini izleyeceğiz #stocks #news #futures #forexturkey #forex #forextrader #trading #money #forexnews #forexlife #commodity #livetrader #stocks #btc #fxsignal #freeforexsignal #scalping"
2020-05-17;0;"#Dow E-mini #Futures #YM_F 193 Pts (0.82%) to 23,710. Check Advanced Futures Chart with Automatic #Fibonacci Lines, Support & Resistance, Futures Money Flow Chart & Alert, Futures VWAP Chart #futurestrading #Investment #investing #stocks #StockMarket https:// apple.co/2MDBKUP pic.twitter.com/aqZebezxhm"
2020-05-17;0;"$ YM_F finished 3 waves pull back on Friday & made a new high again. 1 Hour chart from Friday's New York update @http:// elliottwave-forecast.com #Elliottwave #Dow #Indices #Trading pic.twitter.com/pwQ4sm7z6F"
