date;retweets;text
2018-10-10;1;"Short term Slump = Value Stocks $ DJI hurting for now= Short term Bounce/ open opportunity coming also. watch for 25200 support to hold and rebound.? pic.twitter.com/ISVJMKFocV"
2018-10-10;7;"After biggest market selloff in 8 months on #federalreserve higher interest rates #StockMarket drop! #technology worst day in 2 years! $ dji $ spx $ ndq $ aapl $ amzn $ fb $ mfst $ nke $ v https:// twitter.com/FoxBusiness/st atus/1050146474565267457 …"
2018-10-10;0;"That is one hell of a daily candle. $ DJI pic.twitter.com/Z6omhw1ATa"
2018-10-10;6;"Today was the 3rd "Biggest" One-day #Dow point #drop in #History . $ DJI $ DJIA #DowJones $ SPY #SP500 $ VIX pic.twitter.com/vL0QPxO8k2"
2018-10-10;1;"My thoughts exactly... #stocks #equities $ dji $ spx https:// twitter.com/PeterSchiff/st atus/1050123779576348678 …"
2018-10-10;2;"$ DJI - Short, long, short! #TADoesntWork pic.twitter.com/uHb6rCAFl0"
2018-10-10;50;"US #markets SELLOFF worst DROP since Feb this year on concerns over higher interest rates & #tradewar concerns with #China White House thinks it's just a #bullmarket correction & I would agree! Discussed on @foxnews $ dji $ spx $ ndq #technology $ aapl $ amzn $ fb $ mfst $ goog $ googl pic.twitter.com/y9JKYQZYpj"
2018-10-10;5;"“When markets are moving fast, as they are today … it’s important to look at relative levels, in terms of trend channels.” With the $ VIX hitting its highest level since April, @PeterReznicek provides some timely technical analysis on the major indices $ SPX $ RUT $ NDX $ DJI : pic.twitter.com/SUauPc4dYE"
2018-10-10;1;"technically speaking: $ SPX Practically at long term support $ COMPQ at long term support in lower part of its channel $ DJI still far from its long term support. since las Thursday pain has been "EPIC". #TRMX pic.twitter.com/5AThEtP2zL"
2018-10-10;5;"Wow $ QQQ $ SPX $ DJI"
2018-10-10;0;"$ Dow down -817.62 points $ SPY $ DJI $ DJIA #DowJones pic.twitter.com/1HIbgratXS"
2018-10-10;6;"As the selloff in stocks accelerates into close, @OJRenick highlights a few of today's key movers. $ VIX $ XLU $ SPX $ DJI $ RUT $ NDX $ DXY $ TLT $ XLK $ XLI $ EEM pic.twitter.com/BAMA5bW6TW"
2018-10-10;1;"$ NQ #NASDAQ Double top proyection almost completed. At this point, just wait for lower highs to add some shorts . The same context in $ DJI and $ SP pic.twitter.com/M9LH5DWJPh"
2018-10-10;36;"Eeeuh guys? This fractal is kinda scary; I don't want to witness a 1929 crash ya know $ DJI pic.twitter.com/ksQ4chCqVQ"
2018-10-10;3;"$ DJI #DowJonesIndustrialAverage #DOW -600pts. $ NASDAQ $ NDX $ IWM -3%. Whats next? Watch FutureSpeak. Become an http:// askslim.com member https:// twitter.com/askslim/status /1050077852048199687 …"
2018-10-10;1;"$ XLB $ DJI #OptionsTrading سهم (XLB)كلا الاحتمالين كان يرشح الهبوط pic.twitter.com/0RJXBv9wnX"
2018-10-10;0;"$ DJI Another bearish signal, a confirmed Head & Shoulders, shown on the hourly. Price has also broken down through the Ichimoku cloud and below all relevant EMAs. This is getting ugly. pic.twitter.com/rViZFIlGRJ"
2018-10-10;3;". @FuturesBen_TDAN provides a quick market update with Wholesale Inventories (1.0%, Exp. 0.8%) and Wholesale Sales (0.8%, Exp. 0.5%) coming in stronger than expected this morning. $ SPX $ NDX $ DJI $ RUT pic.twitter.com/wcLL1RwblP"
2018-10-10;0;"something smelly today, I think could be a very ugly day for $ SPX $ NDX $ DJI and CNBC Bloomberg will show dramatic red-coloured-large letters "MARKET IN TURMOIL" as DOW drops -600 intraday"
2018-10-10;1;"Nouvelle Vidéo ! Briefing Daily du 10/10/18 https:// youtu.be/SELUzSCo_u0 $ SPX $ DJI $ VIX $ AUDNZD $ EURUSD $ EURJPY $ JXY $ BUND $ DAX $ STX $ GOLD $ BTCUSD #bitcoin #crypto #indices #trading"
2018-10-10;0;"$ DJI lol pic.twitter.com/sshbEQeUSI"
2018-10-10;0;"Waking up in Australia and turning on Bloomberg to see $ DJI and $ INX #ausbiz pic.twitter.com/nByA5bbsHA"
2018-10-10;0;"Value Idea Contest: Win Up to $1,100 for Your Investment Idea https://www. gurufocus.com/news/751500 $ SPY $ DJI $ QQQ pic.twitter.com/h7ZUtqNtNQ"
2018-10-10;2;"US stocks melt! Will pick through the wreckage with @JoeABCNews at 9 AEST (in 25 minutes) $ DJI $ SPX $ XJO #techwreck"
2018-10-10;1;"If you're not following @W_Analytics YOU ARE SO MISSING OUT. SO GRATEFUL for my first 6 figure day ever (and not done...) $ SPY $ SPX $ DIA $ DJI I am not affiliated or otherwise connected professionally/personally, free testimony from a big fan and a very grateful follower. https:// twitter.com/W_Analytics/st atus/1050115477006102531 …"
2018-10-10;1;"Dow loses 940 points since Tuesday's intraday high amid market selloff #markets $ DJI #Dow https:// breakingthenews.net/dow-closes-940 -pts-lower-from-tuesdays-intraday-high/news/details/45170934 …"
2018-10-10;1;"This morning I tweeted shit was meant to happened today #October10 I guess this was meant to happen. #DOW tumbles massively. This correction was coming anyway $ DJI $ SPY $ BTC #BTC"
2018-10-10;0;"$ DJI down over 800 points today. (a hair over 3%) A single day doesn't make or break a stock or a market. But one has to wonder how long the already longest bull market in history can be sustained."
2018-10-10;0;"From my friend who works at Vanguard: “This guy just called and started screaming at me because his money is evaporating in the markets. He is asking why the the market isn’t going up and threatening to liquidate” Imagine realizing markets go down too $ SPY $ DJI"
2018-10-10;0;"Stock market definition: • Escalator UP • Elevator DOWN $ SPX $ NDX $ DJI $ VIX"
2018-10-10;0;"I love having an excuse to use this gif. $ SPY $ SPX $ DJI pic.twitter.com/9A4hwipRhh"
2018-10-10;0;"$ DJI pic.twitter.com/40BhKExt1a"
2018-10-10;1;"2nd Phase of Trade War Chinese Retaliation $ spx $ dji $ djia pic.twitter.com/CJpKeKRCG6"
2018-10-10;0;"Forcing a trade is like a forcing fart. If you have to push, it’s probably shit. #JustTrade $ DJI #WallSt #NYSE #OptionsTrading #ladytraders #pottymouth #humpdayhumor"
