date;retweets;text
2018-02-16;1;"Weekly Recap Full Video HERE: https:// youtu.be/meRPuxMpgC8 Visit us: http://www. theTradeXchange.com $ spy $ qqq $ dji #ust $ tnx #trading #finance $ ko $ khc pic.twitter.com/DxWPxfUv3I"
2018-02-16;0;"Market Talk - Friday, February 16 $ SPX $ TNX $ DAX $ QQQ $ DJI https:// goo.gl/1TLpmE"
2018-02-16;2;"De momento positivos . Cayó en #5ondas así q desde #ElliottWave tenemos una teoría y un #Fibonacci . Conscientes de q puede ser una onda B, y ya saben cuál es su personalidad #PresidentsDayWeekend Lunes #PresidentsDay $ SPX #SP500 $ DJI #dow #Nasdaq #Trading #BuenViernes pic.twitter.com/dVzH5CZ9I2"
2018-02-16;0;"Dow Jones Industrial - D1 - More Upside\u2026 $ DJI http://www. tradingview.com/chart/DJI/SJ3w b875-Dow-Jones-Industrial-D1-More-Upside-Action/ …"
2018-02-16;1;"Shorting #Marketselloff #BACKKISS CHARTs! $ RUT $ INDU $ NDX $ SPX $ DJI $ DJIA $ BTC $ VIX $ IWM $ SML $ TRAN $ SPY $ INDU $ DIA $ QQQ $ FB $ GOOG $ NFLX $ AAPL $ AMD $ HD @CNBCFastMoney @markets @WSJmarkets @CNBC @TradeIdeas1 pic.twitter.com/4UEhWM84JX"
2018-02-16;1;"#poppoppop just like a rocket. YOU CAN NOT STOP #cryptocurrency #blockchain #bitcoin #fintech #PresidentialRock #BlackPantherMovie #YearOfTheDog get read for #thebounce $ DJI $ CHIT about to hit the $ SSC fan. $ BTCS is #blockchain #Unstoppable pic.twitter.com/2I8ORlt4vp"
2018-02-16;0;"Stocks Tumble Into Red After Russian Indictments $ VIX $ DJI https:// goo.gl/WgngLr"
2018-02-16;0;"$ SPY $ DJI - Algos...do they really care about Russians? Prolly not. #BTFD"
2018-02-16;0;"The overdue #correction in the $ SPY & $ DJI finally came & it came in a hurry! Most investors wonder, "Why did the market sell off so quickly last week?" Find out the real reasons in our new #WellingtonLetter . You can save 50% on Your 1st month today! Go to http:// bit.ly/2nUIEri pic.twitter.com/kKUzb6nbpl"
2018-02-16;0;"$ SPY $ DJI - Apparently a couple months ago there was like a ...correction...or something? Anyone remember that? I don't."
2018-02-16;5;"Yo no se ustedes, pero para nosotros esto es como ver un eclipse $ SPX #SP500 $ DJI #dow #Nasdaq ¡Que emoción! #Trading #BuenViernes pic.twitter.com/qWYgQYpo1u"
2018-02-16;1;"If the $ SPX $ NDX & $ DJI do not hit these price targets in my lifetime I will quit trading & spend the rest of my life training to become an Olympic Curler. @StockCats @RampCapitalLLC @jimcramer @ReformedBroker pic.twitter.com/FWJfmFILVZ"
2018-02-16;0;"Dow Bull Trap ? $ DJI http://www. tradingview.com/chart/DJI/lw3G xIFa-Dow-Bull-Trap/ …"
2018-02-16;0;"$ DJI 日足 あれ？　予想と反して強い。 先週の上髭高値越えてくるなら、来週も上行くのか 25,300ドル付近。ちょうど今の価格辺り。 損切りタイトにショートしていいところだと思うけど。 慎重に行くなら週明けまでペンディング。 pic.twitter.com/uKtd7sUnpQ"
2018-02-16;0;"U.S. Stock Market - Money Flow (Daily & Weekly & Monthly) $ SPX $ SPY $ ES #ES_F #SP500 $ IVV $ VOO $ ES #ES_F $ QQQ $ DIA $ DJI $ DJIA $ XLE $ XLB $ XLI $ XLY $ XLP $ XLV $ IYZ $ XLU $ XLK #StockMarket #MoneyFlow | via @WSJ pic.twitter.com/4OnZOSEXPl"
2018-02-16;1;"Weekly Recap Visit us: http://www. theTradeXchange.com $ spy $ qqq $ dji #ust $ tnx #trading #finance $ ko $ khc"
2018-02-16;0;"Massive Squeeze Sparks Best Week For Stocks In 7 Years As Dollar Crashes $ BCOIN $ QQQ $ GLD $ SPX $ VIX $ DJI $ SVXY $ XIV https:// goo.gl/KywAoF"
2018-02-16;0;"FUTURES $ DAX + 164 $ DJI -2"
2018-02-16;0;"anyone?? - $ DJI chart http://www. tradingview.com/chart/DJI/879K ok5j-anyone/ …"
2018-02-16;0;"911 #beartrap another 10 percent. IT IS GOING TO DROP THEN BOUNCE NOT ENOUGH SUPPORT TO HANDLE THE FORK ON THE $ DJI becareful this is not popping yet boys and girls there is a bigger whale swimming somewhere."
2018-02-16;0;"$ DJI +94 Should be dropping (?) $ DAX don't care, futures + 160, + 171 now"
2018-02-16;0;"@CNBC trying to pain the picture that this week is the best week in 6 years for $ SPX $ DJI LOLOLOL"
2018-02-16;0;"Time to buy longer term puts on the $ DJI again. The dead cat bounce has largely played out. Interestingly Powell came out with his will-print-at-all-costs candy for all CNBC bulls during the week but my guess is that the market will start to cry for more soon."
2018-02-16;0;"$ DJI +6.61"
2018-02-16;0;"Buy the dip during intra day drops. $ DJIA $ DJI"
2018-02-16;1;"Ok everyone we must form the entire v with hinge before we can flag up to 13k. THIS IS GOING TO HAPPEN AROUND 1130 OR SO I BELIEVE MAYBE SOONER. HAVE YOUR STOP LIMITS SET THIS IS GOING TO BE A POP, DOWN, POP, POP #TOTHEMOON AND BACK DOWN 33.3 $ DJI pic.twitter.com/QKL5inCsRo"
2018-02-16;0;"Caution....danger Will Robinson $ DJI $ SPX $ COMP pic.twitter.com/TswSgY2CYx"
2018-02-16;0;"$ SPY $ DJI - Dear Dennis Gartman...you following me yet? No. Well gook ruck! https:// twitter.com/TMcNasty/statu s/964492139798450177 …"
2018-02-16;0;"Simulation Short of DJA $ DJI http://www. tradingview.com/chart/DJI/88Xw TANm-Simulation-Short-of-DJA/ …"
2018-02-16;0;"$ DJI & $ SPX futures turning NEG $ DAX 12,410 + 63"
2018-02-16;0;"#Futures $ SPX +12 $ DJI +103 $ NDX +41 #USDJPY 105.96 (-) #EURUSD 1.254 (+) #Oil (wti) 61.81 (+) #Gold 1364 (+) #Copper 3.27 (+) #US10YR 2.89% (-)"
2018-02-16;0;"Too Close For Comfort $ DJI https:// goo.gl/g1d8LJ"
