date;retweets;text
2019-08-24;0;"$ DJI Dow Jones SHORT TARGETING 24000 BEARISH TREND weekly chart - #DJI TradingView https://www. tradingview.com/chart/DJI/3GsH buMw-DJI-Dow-Jones-SHORT-TARGETING-24000-BEARISH-TREND-weekly-chart/ …"
2019-08-24;0;"$ DJI #DJIA Some more... pic.twitter.com/SX0BlGOpbc"
2019-08-24;0;"#Gundlach 's view: There's a 75% chance of a recession prior to the #2020election . #Trump2020 #TrumpDropOut #TrumpRecession $ SPY $ SPX $ DIA $ DJI $ DJIA $ QQQ $ IXIC $ IWN $ IWM $ IWO $ TLT $ IEF $ TYX $ TNX $ SHV $ BIL $ GBIL $ MINT $ MBB $ NEAR $ GDX $ GLD $ BTC $ XBT $ BAR https:// twitter.com/BoB2Trader/sta tus/1165324131342020608 …"
2019-08-24;1;"#TimDraper : #BitcoinMagic Will Dwarf Internet's Game-Changing Impact https://www. ccn.com/tim-draper-bit coin-magic/ … $ SPY $ SPX $ DIA $ DJI $ DJIA $ QQQ $ IXIC $ IWN $ IWM $ IWO $ BTC $ XBT $ GBTC $ FB $ SQ $ GDX $ GLD $ BAR $ TLT $ IEF $ TYX $ TNX $ SHV $ BIL $ GBIL $ SHY $ BND"
2019-08-24;0;"#JeffreyGundlach on #RecessionOdds , #Bitcoin , and Why #Trump Might Not Run Again http:// nymag.com/intelligencer/ 2019/08/jeffrey-gundlach-recession-bitcoin-why-trump-might-not-run.html?utm_source=tw … #MAGA #TARIFFWAR #TRADEWAR #TRUMPDROPSOUT #TRUMPRECESSION #TRUMP2020 #2020ELECTIONS $ SPY $ SPX $ DIA $ DJI $ DJIA $ QQQ $ IXIC $ IWN $ IWM $ IWO $ BTC $ XBT $ GDX $ GLD $ BAR $ TLT $ IEF $ TYX"
2019-08-24;0;"$ SPY We are closer than ever for a MARKET CRASH 2 Remember!! Is it Monday yet? TWEETS AWAY.. $ SPX $ QQQ $ IWM $ DJI $ AAPL $ TSLA $ FB $ AMZN $ GS $ JPM $ BAC $ C $ GOOGL $ SPOT $ XLE $ BA $ BABA $ UVXY $ LYFT $ CMG #tradewar #China #TradeTalks #tariffs #currency #manipulation pic.twitter.com/ibsQd3sA8u"
2019-08-24;0;"Tymczasem weekendowy $ DJI https:// twitter.com/Reuters/status /1165284170098270209 … pic.twitter.com/Bf6m8xoRde"
2019-08-24;1;"$ DJI DOW continues to be in an uptrend channel, see monthly chart ... However we are seeing divergences on the MACD & RSI since Jan 2018 (also in Weekly) - kind of looks toppy ... the uptrend line for the RSI has not been broken yet... On the Daily chart price now below 200MA pic.twitter.com/aaJg2vdBmV"
2019-08-24;1;"$ spx $ spy $ dow $ dji حبيب الشعب حركته هذه حركته المتوقعة الأسابيع القادمة بمشيئة الله pic.twitter.com/5VrHYfKmfP"
2019-08-24;0;"$ DAX will probably dump MON AM NY $ SPX and $ DJI may continue heavy loses."
2019-08-24;0;"Austan Goolsbee,the former chairman of the Council of Economic Advisers under President Obama, reacts to President Trump's tweet asking if Federal Reserve Chairman Jerome Powell or Chinese President Xi Jinping is the bigger enemy to America. $ SPY $ QQQ $ DJI https://www. cnn.com/videos/politic s/2019/08/23/austan-goolsbee-trump-tweet-china-powell-crn-vpx.cnn/video/playlists/this-week-in-politics/ …"
2019-08-24;1;"تغريدات قادمة عن السوق ومراجعة شارت $ spx $ spy $ dow $ dji والمجنونة الحلوة ابل، بالأضافة الى مجموعة من الأسهم المقترحة من المتابعين ، ضع سهمك هنا ليتم تحليله"
2019-08-24;0;"I left 10 short positions open with leverage, at 26,000 $ DJI , THIS WILL END AT 22,000"
2019-08-24;1;"$ SPY @realDonaldTrump is going to finish Xi $ SPX $ QQQ $ IWM $ DJI $ AAPL $ TSLA $ FB $ AMZN $ GS $ JPM $ BAC $ C $ GOOGL $ SPOT $ XLE $ BA $ BABA $ UVXY $ LYFT $ CMG #tradewar #China #TradeTalks #tariffs #currency #manipulation pic.twitter.com/CoYv3gMLY3"
2019-08-24;1;"$ spx $ spy $ dow $ dji على يسار الصورة شارت الأسبوع الماضي اللي وضعته في تغريدة يوم 19 اغسطس وعلى يمين الشاشة شارت الأسبوع الأخير من اغسطس ، الى الأن تداول عرضي بالمربع الأخضر وممكن ان يكمل التداول في داخل المربع لمدة اسبوع او اسبوعين ويتحرك بعدها المؤشر الى 23500 النقطة الأغلي pic.twitter.com/KBg5pWf4l4"
